,focal,partner,reaction,class,flux
356,1334,946,EX_o2_e,co-consumed,3.84615362881746
357,1334,946,EX_pheme_e,provided,2.037203969611639e-06
358,1334,946,EX_pi_e,co-consumed,0.27373939224042537
359,1334,946,EX_pro__L_e,co-consumed,2.806447741566675e-06
360,1334,946,EX_pyovd_kt_e,received,8.028434352266538e-05
361,1334,946,EX_rib__D_e,co-consumed,1.0723937787872875e-06
362,1334,946,EX_ser__L_e,co-consumed,0.2054214061128405
363,1334,946,EX_skm_e,co-consumed,5.431792981776924e-06
364,1334,946,EX_so3_e,received,2.1227387806576923e-05
365,1334,946,EX_so4_e,co-consumed,0.0010014441983207693
366,1334,946,EX_stfrnA_e,received,8.356181014308078e-05
367,1334,946,EX_stfrnB_e,received,8.534417800006923e-05
368,1334,946,EX_trp__L_e,received,1.411475908260421e-06
369,1334,946,EX_ura_e,co-consumed,0.07629820239409697
370,1334,946,EX_val__L_e,co-consumed,8.510756318326924e-06
371,1334,946,EX_zn2_e,co-consumed,7.869678066964231e-05
372,1334,100,EX_4abut_e,received,1.8658452292495046e-06
373,1334,100,EX_4hbz_e,received,1.342103959518541e-06
374,1334,100,EX_5dglcn_e,co-consumed,3.304586273652536e-06
375,1334,100,EX_5drib_e,co-consumed,1.0191807996597023e-06
376,1334,100,EX_abt__L_e,provided,2.2736018737630768e-05
377,1334,100,EX_acald_e,provided,1.6520561723e-05
378,1334,100,EX_adn_e,provided,1.1191013150615886e-06
379,1334,100,EX_ala_L_thr__L_e,provided,1.2455826873404276e-06
380,1334,100,EX_ala_his_e,received,1.0139218505360484e-06
381,1334,100,EX_arab__L_e,received,6.891014099592308e-06
382,1334,100,EX_arg__L_e,co-consumed,0.06826385266551879
383,1334,100,EX_asn__L_e,co-consumed,0.005216857295507812
384,1334,100,EX_asp__L_e,co-consumed,0.18816334685991296
385,1334,100,EX_ca2_e,co-consumed,0.0012012220939511
386,1334,100,EX_cit_e,co-consumed,2.708533751522308e-05
387,1334,100,EX_cl_e,co-consumed,0.0012012221395426115
388,1334,100,EX_co_e,provided,2.3449780630360202e-06
389,1334,100,EX_cobalt2_e,co-consumed,2.307823480048077e-05
390,1334,100,EX_cu2_e,co-consumed,0.0001636246847355
391,1334,100,EX_cys__L_e,received,2.244569006949268e-06
392,1334,100,EX_enter_e,co-consumed,1.2751744734029553e-06
393,1334,100,EX_fe2_e,co-consumed,0.0015495513976264462
394,1334,100,EX_fe3_e,co-consumed,0.0001775160016819923
395,1334,100,EX_fe3dcit_e,co-consumed,1.4532063821203922e-06
396,1334,100,EX_fru_e,co-consumed,1.998439181506923e-05
397,1334,100,EX_fum_e,co-consumed,0.3744743949369972
398,1334,100,EX_g3pg_e,provided,1.0626090437949293e-06
399,1334,100,EX_gal_e,provided,1.279347996264807e-06
400,1334,100,EX_glc__D_e,co-consumed,6.245775941846154e-06
401,1334,100,EX_glu__L_e,co-consumed,3.8896463039e-06
402,1334,100,EX_glutar_e,co-consumed,1.539051274869154e-06
403,1334,100,EX_gly_asn__L_e,co-consumed,0.05041316542276079
404,1334,100,EX_gly_asp__L_e,provided,1.2597266193376679e-06
405,1334,100,EX_gly_met_e,provided,1.4556351669102226e-06
406,1334,100,EX_gly_phe_e,provided,1.3807032722045472e-06
407,1334,100,EX_glyglygln_e,provided,1.1191556174818727e-06
408,1334,100,EX_gua_e,co-consumed,0.05610848455375202
409,1334,100,EX_h2o_e,received,3.8461387824371216
410,1334,100,EX_h2s_e,co-consumed,0.03570773952519341
411,1334,100,EX_h_e,co-consumed,1.0167945260993354
412,1334,100,EX_his__L_e,received,1.947011492352749e-06
413,1334,100,EX_ile__L_e,co-consumed,3.5981613529945235e-06
414,1334,100,EX_k_e,co-consumed,0.045047098854105926
415,1334,100,EX_lys__L_e,provided,0.002432222301646592
416,1334,100,EX_mal__L_e,co-consumed,0.39312284420348204
417,1334,100,EX_malthp_e,provided,1.3497330606743238e-06
418,1334,100,EX_melib_e,provided,2.12754006196644e-06
419,1334,100,EX_meoh_e,provided,0.00013684943378889616
420,1334,100,EX_met_L_ala__L_e,provided,1.4249217588405172e-06
421,1334,100,EX_mg2_e,co-consumed,0.00200203686590275
422,1334,100,EX_mn2_e,co-consumed,0.0001594706024713308
423,1334,100,EX_no2_e,received,3.846784027319231e-06
424,1334,100,EX_no3_e,provided,6.774307996726924e-06
425,1334,100,EX_no_e,received,3.325042389484353e-06
426,1334,100,EX_o2_e,co-consumed,3.84615362881746
427,1334,100,EX_orn_e,received,1.380921033638724e-06
428,1334,100,EX_phe__L_e,provided,1.3766077628264046e-06
429,1334,100,EX_pheme_e,provided,2.037203969611639e-06
430,1334,100,EX_pi_e,co-consumed,0.2237901862050089
431,1334,100,EX_pro__L_e,co-consumed,2.806447741566675e-06
432,1334,100,EX_pyovd_kt_e,co-consumed,0.0001561639450607654
433,1334,100,EX_raffin_e,co-consumed,1.60457130572255e-06
434,1334,100,EX_ser__L_e,co-consumed,0.17099522731080657
435,1334,100,EX_skm_e,co-consumed,5.431792981776924e-06
436,1334,100,EX_so4_e,co-consumed,0.0010014441983207693
437,1334,100,EX_stfrnA_e,co-consumed,0.00015124558717140004
438,1334,100,EX_stfrnB_e,co-consumed,0.0001494448772069731
439,1334,100,EX_tyr__L_e,provided,1.181690117682258e-06
